EmployeeKey,ParentEmployeeKey,EmployeeNationalIDAlternateKey,ParentEmployeeNationalIDAlternateKey,FirstName,LastName,MiddleName,NameStyle,Title,HireDate,BirthDate,LoginID,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,Position
104,16,827686041,233069302,Pete,Male,C,False,Production Technician - WC50,11-Aug-08,3-Sept-76,AW\pete-male,pete-male@adventureworks.com,768-555-0123,S,Pete Male,768-555-0123,False,M,1,$11.,13,26,True,False,Production,
113,138,733022683,386315192,Jason,Watters,M,False,Production Technician - WC30,14-Aug-08,7-Jul-88,AW\jason-watters,jason-watters@adventureworks.com,571-555-0179,S,Jason Watters,571-555-0179,False,M,1,$9.5,38,39,True,False,Production,
125,9,458159238,309738752,Bryan,Baker,,False,Production Technician - WC60,21-Aug-08,27-Mar-73,AW\bryan-baker,bryan-baker@adventureworks.com,712-555-0113,S,Bryan Baker,712-555-0113,False,M,1,$12.45,35,37,True,False,Production,
127,188,87268837,60114406,Eugene,Zabokritski,R,False,Production Technician - WC30,21-Aug-08,12-Feb-87,AW\eugene-zabokritski,eugene-zabokritski@adventureworks.com,241-555-0191,S,Eugene Zabokritski,241-555-0191,False,M,1,$9.5,33,36,True,False,Production,
132,18,948320468,446466105,Mark,McArthur,K,False,Production Technician - WC60,23-Aug-08,25-Apr-79,AW\mark-mcarthur,mark-mcarthur@adventureworks.com,417-555-0154,S,Mark McArthur,417-555-0154,False,M,1,$12.45,19,29,True,False,Production,
136,177,363996959,578935259,Michiko,Osada,F,False,Production Technician - WC30,26-Aug-08,25-Jan-82,AW\michiko-osada,michiko-osada@adventureworks.com,984-555-0148,S,Michiko Osada,984-555-0148,False,M,1,$9.5,44,42,True,False,Production,
137,188,585408256,60114406,Benjamin,Martin,R,False,Production Technician - WC30,27-Aug-08,5-Aug-85,AW\benjamin-martin,benjamin-martin@adventureworks.com,533-555-0111,S,Benjamin Martin,533-555-0111,False,M,1,$9.5,28,34,True,False,Production,
141,214,746201340,634335025,Brian,Lloyd,T,False,Production Technician - WC40,29-Aug-08,10-Sept-76,AW\brian-lloyd,brian-lloyd@adventureworks.com,110-555-0182,S,Brian Lloyd,110-555-0182,False,M,1,$15.,55,47,True,False,Production,
145,40,398737566,630184120,Michael,Patten,W,False,Production Technician - WC50,31-Aug-08,1-Dec-73,AW\michael-patten,michael-patten@adventureworks.com,441-555-0195,S,Michael Patten,441-555-0195,False,M,1,$11.,98,69,True,False,Production,
148,163,456839592,551834634,Robert,Rounthwaite,J,False,Production Technician - WC45,2-Sept-08,28-Sept-84,AW\robert-rounthwaite,robert-rounthwaite@adventureworks.com,589-555-0147,S,Robert Rounthwaite,589-555-0147,False,M,1,$10.,82,61,True,False,Production,
156,214,436757988,634335025,Tawana,Nusbaum,G,False,Production Technician - WC40,5-Sept-08,10-Jun-89,AW\tawana-nusbaum,tawana-nusbaum@adventureworks.com,368-555-0113,S,Tawana Nusbaum,368-555-0113,False,M,1,$15.,50,45,True,False,Production,
160,9,66073987,309738752,Eugene,Kogan,O,False,Production Technician - WC60,8-Sept-08,10-Sept-75,AW\eugene-kogan,eugene-kogan@adventureworks.com,173-555-0179,S,Eugene Kogan,173-555-0179,False,M,1,$12.45,36,38,True,False,Production,
167,76,370581729,778552911,Mandar,Samant,H,False,Production Technician - WC50,10-Sept-08,19-Oct-85,AW\mandar-samant,mandar-samant@adventureworks.com,140-555-0132,S,Mandar Samant,140-555-0132,False,M,1,$11.,0,20,True,False,Production,
172,89,578953538,750905084,Rob,Caron,T,False,Production Technician - WC40,13-Sept-08,4-Mar-73,AW\rob-caron,rob-caron@adventureworks.com,238-555-0116,S,Rob Caron,238-555-0116,False,M,1,$15.,71,55,True,False,Production,
176,89,273260055,750905084,Baris,Cetinok,F,False,Production Technician - WC40,15-Sept-08,7-May-90,AW\baris-cetinok,baris-cetinok@adventureworks.com,164-555-0114,S,Baris Cetinok,164-555-0114,False,M,1,$15.,72,56,True,False,Production,
178,20,752513276,494170342,Steve,Masters,F,False,Production Technician - WC60,15-Sept-08,4-Nov-90,AW\steve-masters,steve-masters@adventureworks.com,712-555-0170,S,Steve Masters,712-555-0170,False,M,1,$12.45,31,35,True,False,Production,
181,147,404159499,319472946,Terrence,Earls,W,False,Production Technician - WC20,16-Sept-08,8-Jul-84,AW\terrence-earls,terrence-earls@adventureworks.com,110-555-0115,S,Terrence Earls,110-555-0115,False,M,1,$14.,13,26,True,False,Production,
191,16,10708100,233069302,Frank,Miller,T,False,Production Technician - WC50,23-Sept-08,21-Feb-71,AW\frank-miller,frank-miller@adventureworks.com,167-555-0139,S,Frank Miller,167-555-0139,False,M,1,$11.,10,25,True,False,Production,
196,40,334834274,630184120,Michael,Entin,T,False,Production Technician - WC50,25-Sept-08,13-Jan-89,AW\michael-entin,michael-entin@adventureworks.com,817-555-0186,S,Michael Entin,817-555-0186,False,M,1,$11.,94,67,True,False,Production,
197,163,399658727,551834634,Lionel,Penuchot,C,False,Production Technician - WC45,26-Sept-08,13-Oct-87,AW\lionel-penuchot,lionel-penuchot@adventureworks.com,450-555-0152,S,Lionel Penuchot,450-555-0152,False,M,1,$10.,78,59,True,False,Production,
203,186,621932914,862951447,Stefen,Hesse,A,False,Production Technician - WC20,28-Sept-08,21-Jul-75,AW\stefen-hesse,stefen-hesse@adventureworks.com,165-555-0113,S,Stefen Hesse,165-555-0113,False,M,1,$14.,19,29,True,False,Production,
208,188,568626529,60114406,John,Frum,N,False,Production Technician - WC30,1-Oct-08,22-Oct-81,AW\john-frum,john-frum@adventureworks.com,663-555-0172,S,John Frum,663-555-0172,False,M,1,$9.5,27,33,True,False,Production,
212,20,63179277,494170342,Jay,Adams,G,False,Production Technician - WC60,3-Oct-08,11-Sept-75,AW\jay-adams,jay-adams@adventureworks.com,407-555-0165,S,Jay Adams,407-555-0165,False,M,1,$12.45,32,36,True,False,Production,
213,188,587567941,60114406,Jan,Miksovsky,S,False,Production Technician - WC30,3-Oct-08,15-Jun-74,AW\jan-miksovsky,jan-miksovsky@adventureworks.com,139-555-0131,S,Jan Miksovsky,139-555-0131,False,M,1,$9.5,30,35,True,False,Production,
215,126,65848458,712885347,Andrew,Cencini,M,False,Production Technician - WC45,4-Oct-08,24-Apr-88,AW\andrew-cencini,andrew-cencini@adventureworks.com,207-555-0192,S,Andrew Cencini,207-555-0192,False,M,1,$10.,73,56,True,False,Production,
217,18,442121106,446466105,Chris,Okelberry,O,False,Production Technician - WC60,5-Oct-08,7-Mar-86,AW\chris-okelberry,chris-okelberry@adventureworks.com,315-555-0144,S,Chris Okelberry,315-555-0144,False,M,1,$12.45,16,28,True,False,Production,
223,20,537092325,494170342,Charles,Fitzgerald,B,False,Production Technician - WC60,3-Jul-09,2-Apr-71,AW\charles-fitzgerald,charles-fitzgerald@adventureworks.com,931-555-0118,S,Charles Fitzgerald,931-555-0118,False,M,1,$12.45,27,33,True,False,Production,
224,27,455563743,360868122,Ebru,Ersan,N,False,Production Technician - WC10,6-Jul-09,22-Apr-86,AW\ebru-ersan,ebru-ersan@adventureworks.com,202-555-0187,S,Ebru Ersan,202-555-0187,False,M,1,$13.45,93,66,True,False,Production,
226,53,1662732,370989364,Brian,Goldstein,Richard,False,Production Technician - WC40,11-Jul-09,23-Jul-70,AW\brian-goldstein,brian-goldstein@adventureworks.com,730-555-0117,S,Brian Goldstein,730-555-0117,False,M,1,$15.,63,51,True,False,Production,
230,20,834186596,494170342,Karan,Khanna,R,False,Production Technician - WC60,22-Jul-09,5-Oct-69,AW\karan-khanna,karan-khanna@adventureworks.com,447-555-0186,S,Karan Khanna,447-555-0186,False,M,1,$12.45,28,34,True,False,Production,
232,27,801365500,360868122,Kevin,Homer,M,False,Production Technician - WC10,25-Jul-09,19-Apr-86,AW\kevin-homer,kevin-homer@adventureworks.com,555-555-0113,S,Kevin Homer,555-555-0113,False,M,1,$13.45,90,65,True,False,Production,
233,53,413787783,370989364,Mihail,Frintu,U,False,Production Technician - WC40,29-Jul-09,7-Oct-70,AW\mihail-frintu,mihail-frintu@adventureworks.com,733-555-0128,S,Mihail Frintu,733-555-0128,False,M,1,$15.,64,52,True,False,Production,
236,111,113393530,45615666,Hung-Fu,Ting,T,False,Production Technician - WC20,6-Aug-09,23-May-71,AW\hung-fu-ting,hung-fu-ting@adventureworks.com,497-555-0181,S,Hung-Fu Ting,497-555-0181,False,M,1,$14.,0,20,True,False,Production,
240,53,943170460,370989364,Sandeep,Kaliyath,P,False,Production Technician - WC40,17-Aug-09,3-Jul-70,AW\sandeep-kaliyath,sandeep-kaliyath@adventureworks.com,166-555-0156,S,Sandeep Kaliyath,166-555-0156,False,M,1,$15.,65,52,True,False,Production,
247,20,414476027,494170342,Maciej,Dusza,W,False,Production Technician - WC60,29-Aug-09,30-Aug-54,AW\maciej-dusza,maciej-dusza@adventureworks.com,237-555-0128,S,Maciej Dusza,237-555-0128,False,M,1,$12.45,30,35,True,False,Production,
249,66,90888098,7201901,Patrick,Wedge,C,False,Production Technician - WC10,1-Sept-09,10-Apr-86,AW\patrick-wedge,patrick-wedge@adventureworks.com,413-555-0124,S,Patrick Wedge,413-555-0124,False,M,1,$13.45,96,68,True,False,Production,
251,18,461786517,446466105,Ed,Dudenhoefer,R,False,Production Technician - WC60,5-Sept-09,11-Apr-71,AW\ed-dudenhoefer,ed-dudenhoefer@adventureworks.com,919-555-0140,S,Ed Dudenhoefer,919-555-0140,False,M,1,$12.45,25,32,True,False,Production,
254,111,56772045,45615666,Krishna,Sunkammurali,,False,Production Technician - WC20,13-Sept-09,5-Apr-71,AW\krishna-sunkammurali,krishna-sunkammurali@adventureworks.com,491-555-0183,S,Krishna Sunkammurali,491-555-0183,False,M,1,$14.,2,21,True,False,Production,
258,20,582347317,494170342,Michael,Zwilling,J,False,Production Technician - WC60,23-Sept-09,5-Apr-73,AW\michael-zwilling,michael-zwilling@adventureworks.com,582-555-0148,S,Michael Zwilling,582-555-0148,False,M,1,$12.45,26,33,True,False,Production,
260,27,561196580,360868122,John,Kane,T,False,Production Technician - WC10,27-Sept-09,28-Apr-86,AW\john-kane,john-kane@adventureworks.com,254-555-0114,S,John Kane,254-555-0114,False,M,1,$13.45,92,66,True,False,Production,
261,53,58791499,370989364,Jack,Creasey,T,False,Production Technician - WC40,1-Oct-09,29-Mar-73,AW\jack-creasey,jack-creasey@adventureworks.com,521-555-0113,S,Jack Creasey,521-555-0113,False,M,1,$15.,62,51,True,False,Production,
1,18,14417807,446466105,Guy,Gilbert,R,False,Production Technician - WC60,28-Jan-06,12-Nov-81,AW\guy-gilbert,guy-gilbert@adventureworks.com,320-555-0195,M,Guy Gilbert,320-555-0195,False,M,1,$12.45,21,30,True,False,Production,
15,189,844973625,33237992,Sidney,Higa,M,False,Production Technician - WC10,2-Sept-07,30-Mar-56,AW\sidney-higa,sidney-higa@adventureworks.com,424-555-0189,M,Sidney Higa,424-555-0189,False,M,1,$13.45,84,62,True,False,Production,
22,177,443968955,578935259,Steven,Selikoff,T,False,Production Technician - WC30,1-Jul-08,12-Dec-76,AW\steven-selikoff,steven-selikoff@adventureworks.com,925-555-0114,M,Steven Selikoff,925-555-0114,False,M,1,$9.5,41,40,True,False,Production,
28,111,964089218,45615666,Ivo,Salmre,William,False,Production Technician - WC20,4-Jul-08,3-Aug-81,AW\ivo-salmre,ivo-salmre@adventureworks.com,115-555-0179,M,Ivo Salmre,115-555-0179,False,M,1,$14.,9,24,True,False,Production,
31,16,571658797,233069302,Kendall,Keil,C,False,Production Technician - WC50,5-Jul-08,28-Dec-85,AW\kendall-keil,kendall-keil@adventureworks.com,138-555-0128,M,Kendall Keil,138-555-0128,False,M,1,$11.,11,25,True,False,Production,
45,76,718299860,778552911,Russell,Hunter,,False,Production Technician - WC50,12-Jul-08,25-Jun-72,AW\russell-hunter,russell-hunter@adventureworks.com,786-555-0144,M,Russell Hunter,786-555-0144,False,M,1,$11.,6,23,True,False,Production,
55,20,36151748,494170342,David,Ortiz,J,False,Production Technician - WC60,15-Jul-08,29-Jul-84,SQLSERVER2017\LabUser,david-ortiz@adventureworks.com,712-555-0119,M,David Ortiz,712-555-0119,False,M,1,$12.45,33,36,True,False,Production,
59,18,801758002,446466105,Annik,Stahl,O,False,Production Technician - WC60,17-Jul-08,26-Jul-76,AW\annik-stahl,annik-stahl@adventureworks.com,499-555-0125,M,Annik Stahl,499-555-0125,False,M,1,$12.45,17,28,True,False,Production,
62,76,674171828,778552911,Jim,Scardelis,H,False,Production Technician - WC50,19-Jul-08,8-Apr-86,AW\jim-scardelis,jim-scardelis@adventureworks.com,679-555-0113,M,Jim Scardelis,679-555-0113,False,M,1,$11.,1,20,True,False,Production,
64,188,476115505,60114406,George,Li,Z,False,Production Technician - WC30,21-Jul-08,14-Nov-76,AW\george-li,george-li@adventureworks.com,518-555-0199,M,George Li,518-555-0199,False,M,1,$9.5,26,33,True,False,Production,
67,147,97728960,319472946,Raymond,Sam,K,False,Production Technician - WC20,23-Jul-08,30-Sept-66,AW\raymond-sam,raymond-sam@adventureworks.com,226-555-0197,M,Raymond Sam,226-555-0197,False,M,1,$14.,10,25,True,False,Production,
70,214,370487086,634335025,Shammi,Mohamed,G,False,Production Technician - WC40,24-Jul-08,4-May-80,AW\shammi-mohamed,shammi-mohamed@adventureworks.com,793-555-0179,M,Shammi Mohamed,793-555-0179,False,M,1,$15.,53,46,True,False,Production,
77,163,435234965,551834634,Douglas,Hite,B,False,Production Technician - WC45,27-Jul-08,24-Jun-85,AW\douglas-hite,douglas-hite@adventureworks.com,808-555-0172,M,Douglas Hite,808-555-0172,False,M,1,$10.,80,60,True,False,Production,
78,9,339712426,309738752,James,Kramer,D,False,Production Technician - WC60,27-Jul-08,23-Feb-84,AW\james-kramer,james-kramer@adventureworks.com,119-555-0117,M,James Kramer,119-555-0117,False,M,1,$12.45,39,39,True,False,Production,
83,214,632092621,634335025,Rajesh,Patel,M,False,Production Technician - WC40,31-Jul-08,4-May-77,AW\rajesh-patel,rajesh-patel@adventureworks.com,373-555-0137,M,Rajesh Patel,373-555-0137,False,M,1,$15.,48,44,True,False,Production,
95,53,769680433,370989364,Ryan,Cornelsen,L,False,Production Technician - WC40,5-Aug-08,12-Jan-72,AW\ryan-cornelsen,ryan-cornelsen@adventureworks.com,208-555-0114,M,Ryan Cornelsen,208-555-0114,False,M,1,$15.,59,49,True,False,Production,
101,201,199546871,332349500,Scott,Gode,R,False,Production Technician - WC45,8-Aug-08,10-Sept-86,AW\scott-gode,scott-gode@adventureworks.com,391-555-0138,M,Scott Gode,391-555-0138,False,M,1,$10.,86,63,True,False,Production,
103,147,322160340,319472946,Lane,Sacksteder,M,False,Production Technician - WC20,11-Aug-08,23-Apr-74,AW\lane-sacksteder,lane-sacksteder@adventureworks.com,200-555-0117,M,Lane Sacksteder,200-555-0117,False,M,1,$14.,11,25,True,False,Production,
107,76,204035155,778552911,Lolan,Song,B,False,Production Technician - WC50,12-Aug-08,24-Aug-72,AW\lolan-song,lolan-song@adventureworks.com,582-555-0178,M,Lolan Song,582-555-0178,False,M,1,$11.,7,23,True,False,Production,
110,40,342607223,630184120,Mindaugas,Krapauskas,J,False,Production Technician - WC50,13-Aug-08,5-Dec-77,AW\mindaugas-krapauskas,mindaugas-krapauskas@adventureworks.com,637-555-0120,M,Mindaugas Krapauskas,637-555-0120,False,M,1,$11.,97,68,True,False,Production,
116,188,364818297,60114406,Marc,Ingle,J,False,Production Technician - WC30,16-Aug-08,24-May-86,AW\marc-ingle,marc-ingle@adventureworks.com,234-555-0169,M,Marc Ingle,234-555-0169,False,M,1,$9.5,22,31,True,False,Production,
118,111,886023130,45615666,Paul,Singh,R,False,Production Technician - WC20,17-Aug-08,4-Jun-90,AW\paul-singh,paul-singh@adventureworks.com,727-555-0112,M,Paul Singh,727-555-0112,False,M,1,$14.,6,23,True,False,Production,
119,214,749211824,634335025,Frank,Lee,T,False,Production Technician - WC40,17-Aug-08,6-Apr-87,AW\frank-lee,frank-lee@adventureworks.com,158-555-0191,M,Frank Lee,158-555-0191,False,M,1,$15.,56,48,True,False,Production,
129,126,539490372,712885347,Chris,Preston,T,False,Production Technician - WC45,22-Aug-08,16-Jul-88,AW\chris-preston,chris-preston@adventureworks.com,200-555-0112,M,Chris Preston,200-555-0112,False,M,1,$10.,76,58,True,False,Production,
134,76,153288994,778552911,Houman,Pournasseh,N,False,Production Technician - WC50,25-Aug-08,30-Mar-71,AW\houman-pournasseh,houman-pournasseh@adventureworks.com,180-555-0136,M,Houman Pournasseh,180-555-0136,False,M,1,$11.,3,21,True,False,Production,
146,138,764853868,386315192,Andy,Ruth,M,False,Production Technician - WC30,31-Aug-08,20-May-83,AW\andy-ruth,andy-ruth@adventureworks.com,118-555-0110,M,Andy Ruth,118-555-0110,False,M,1,$9.5,39,39,True,False,Production,
150,188,259388196,60114406,Reed,Koch,T,False,Production Technician - WC30,2-Sept-08,8-Aug-88,AW\reed-koch,reed-koch@adventureworks.com,678-555-0110,M,Reed Koch,678-555-0110,False,M,1,$9.5,23,31,True,False,Production,
159,126,377784364,712885347,Alex,Nayberg,M,False,Production Technician - WC45,8-Sept-08,11-Nov-89,AW\alex-nayberg,alex-nayberg@adventureworks.com,819-555-0198,M,Alex Nayberg,819-555-0198,False,M,1,$10.,77,58,True,False,Production,
161,18,999440576,446466105,Brandon,Heidepriem,G,False,Production Technician - WC60,8-Sept-08,10-Aug-76,AW\brandon-heidepriem,brandon-heidepriem@adventureworks.com,429-555-0137,M,Brandon Heidepriem,429-555-0137,False,M,1,$12.45,22,31,True,False,Production,
164,186,305522471,862951447,John,Chen,Y,False,Production Technician - WC20,9-Sept-08,3-Nov-85,AW\john-chen,john-chen@adventureworks.com,201-555-0163,M,John Chen,201-555-0163,False,M,1,$14.,18,29,True,False,Production,
166,18,788456780,446466105,Jose,Lugo,R,False,Production Technician - WC60,10-Sept-08,29-Feb-84,AW\jose-lugo,jose-lugo@adventureworks.com,587-555-0115,M,Jose Lugo,587-555-0115,False,M,1,$12.45,20,30,True,False,Production,
169,76,152085091,778552911,Sameer,Tejani,A,False,Production Technician - WC50,11-Sept-08,24-Jan-78,AW\sameer-tejani,sameer-tejani@adventureworks.com,990-555-0172,M,Sameer Tejani,990-555-0172,False,M,1,$11.,4,22,True,False,Production,
173,40,222400012,630184120,Don,Hall,L,False,Production Technician - WC50,13-Sept-08,11-Jan-71,AW\don-hall,don-hall@adventureworks.com,100-555-0174,M,Don Hall,100-555-0174,False,M,1,$11.,88,64,True,False,Production,
175,188,860123571,60114406,David,Lawrence,Oliver,False,Production Technician - WC30,14-Sept-08,23-Apr-85,SQLSERVER2017\LabUser,david-lawrence@adventureworks.com,118-555-0177,M,David Lawrence,118-555-0177,False,M,1,$9.5,29,34,True,False,Production,
183,40,599942664,630184120,Chad,Niswonger,W,False,Production Technician - WC50,18-Sept-08,4-Mar-90,AW\chad-niswonger,chad-niswonger@adventureworks.com,559-555-0175,M,Chad Niswonger,559-555-0175,False,M,1,$11.,99,69,True,False,Production,
184,138,993310268,386315192,Rostislav,Shabalin,E,False,Production Technician - WC30,19-Sept-08,13-Apr-77,AW\rostislav-shabalin,rostislav-shabalin@adventureworks.com,751-555-0134,M,Rostislav Shabalin,751-555-0134,False,M,1,$9.5,40,40,True,False,Production,
187,188,551346974,60114406,Russell,King,M,False,Production Technician - WC30,21-Sept-08,11-Sept-81,AW\russell-king,russell-king@adventureworks.com,517-555-0122,M,Russell King,517-555-0122,False,M,1,$9.5,24,32,True,False,Production,
194,214,693168613,634335025,Ken,Myer,L,False,Production Technician - WC40,24-Sept-08,26-Dec-80,AW\ken-myer,ken-myer@adventureworks.com,949-555-0174,M,Ken Myer,949-555-0174,False,M,1,$15.,51,45,True,False,Production,
198,9,500412746,309738752,Thomas,Michaels,R,False,Production Technician - WC60,26-Sept-08,10-Aug-85,AW\thomas-michaels,thomas-michaels@adventureworks.com,278-555-0118,M,Thomas Michaels,278-555-0118,False,M,1,$12.45,37,38,True,False,Production,
200,138,878395493,386315192,Michael,Vanderhyde,T,False,Production Technician - WC30,26-Sept-08,18-Apr-82,AW\michael-vanderhyde,michael-vanderhyde@adventureworks.com,296-555-0121,M,Michael Vanderhyde,296-555-0121,False,M,1,$9.5,35,37,True,False,Production,
219,214,440379437,634335025,Gabe,Mares,B,False,Production Technician - WC40,6-Oct-08,9-Dec-87,AW\gabe-mares,gabe-mares@adventureworks.com,310-555-0117,M,Gabe Mares,310-555-0117,False,M,1,$15.,57,48,True,False,Production,
